County,2022,2021,2020,2019,2018,2017,2016,2015
Alamance ,891,885,847,812,754,838,809,695
Alexander ,724,693,712,679,683,680,665,632
Alleghany ,738,693,671,679,683,642,648,632
Anson ,805,693,671,679,683,642,648,632
Ashe ,724,693,671,679,683,642,648,632
Avery ,854,789,741,760,768,744,713,709
Beaufort ,724,693,671,679,683,642,648,632
Bertie,724,693,671,679,683,642,648,632
Bladen ,724,693,671,679,683,642,648,632
Brunswick ,926,841,845,852,866,883,825,847
Buncombe ,1378,1279,992,993,829,891,819,857
Burke ,724,693,712,679,683,680,665,632
Cabarrus ,1155,1151,1063,1028,967,907,864,831
Caldwell ,724,693,712,679,683,680,665,632
Camden ,982,1091,1073,1082,1043,1013,819,808
Carteret ,916,846,827,869,857,819,818,819
Caswell ,724,693,671,679,683,642,648,632
Catawba ,724,693,712,679,683,680,665,632
Chatham ,1199,1134,1088,1055,990,978,937,874
Cherokee,767,715,680,679,683,642,648,632
Chowan ,857,808,786,771,746,655,663,632
Clay ,821,788,754,751,737,703,648,632
Cleveland ,724,693,673,685,703,646,648,632
Columbus,724,693,671,679,683,642,648,632
Craven ,984,947,929,894,917,828,916,761
Cumberland ,913,869,854,893,819,833,835,774
Currituck,1193,1147,1136,1104,1095,1130,1150,1107
Dare ,1054,976,937,953,978,893,908,883
Davidson,724,705,695,679,683,646,648,632
Davie ,808,825,763,729,738,753,698,687
Duplin ,737,699,671,679,683,642,648,632
Durham ,1199,1134,1088,1055,990,978,937,874
Edgecombe ,813,774,753,721,718,743,671,659
Forsyth ,808,825,763,729,738,753,698,687
Franklin ,1223,1200,1163,1086,1026,993,947,918
Gaston ,1155,1151,1063,1028,967,907,864,831
Gates ,795,743,697,679,683,642,648,632
Graham ,724,693,671,679,683,642,648,632
Granville,863,830,818,817,831,786,734,681
Greene ,724,693,671,679,684,642,648,632
Guilford ,952,859,838,769,806,763,741,704
Halifax ,813,748,720,717,695,662,648,645
Harnett ,856,790,785,787,793,701,702,697
Haywood ,937,827,918,842,720,746,724,811
Henderson ,1378,1279,992,993,829,891,819,857
Hertford ,820,768,745,727,708,666,670,632
Hoke ,771,731,721,742,695,680,671,632
Hyde ,739,737,818,908,916,869,799,779
Iredell ,925,923,876,873,828,825,854,722
Jackson ,726,718,693,689,683,642,648,654
Johnston ,1223,1200,1163,1086,1026,993,947,918
Jones ,724,693,671,679,683,669,648,632
Lee ,824,777,732,737,745,710,703,703
Lenoir ,760,747,720,703,712,673,650,644
Lincoln,816,843,800,783,732,698,772,632
McDowell,724,693,671,679,683,642,648,632
Macon,811,759,746,765,779,727,704,724
Madison,1378,1279,992,993,829,891,819,857
Martin ,724,693,671,679,683,642,648,632
Mecklenburg ,1155,1151,1063,1028,967,907,864,831
Mitchell ,724,693,671,679,683,642,648,632
Montgomery ,724,693,671,679,683,642,648,632
Moore ,848,783,808,777,779,674,780,790
Nash ,813,774,753,721,718,743,671,659
New Hanover ,1164,1069,966,1003,993,915,897,847
Northampton,757,693,671,679,683,642,648,632
Onslow ,876,894,920,843,843,812,792,773
Orange ,1199,1134,1088,1055,990,978,937,874
Pamlico ,847,795,758,725,701,642,676,632
Pasquotank ,875,824,788,793,876,826,837,782
Pender ,902,843,757,794,796,717,686,672
Perquimans,862,825,820,825,847,788,792,675
Person,780,757,723,707,687,676,648,663
Pitt,910,873,775,774,758,790,742,689
Polk ,823,768,746,795,817,772,737,728
Randolph ,952,859,838,769,806,763,741,704
Richmond ,724,693,671,679,683,642,648,632
Robeson ,724,693,671,679,683,642,648,632
Rockingham,755,693,677,679,683,642,648,632
Rowan,874,891,842,838,785,699,684,678
Rutherford,724,693,671,679,683,642,733,632
Sampson,724,693,671,679,683,642,648,632
Scotland,724,693,671,696,694,644,659,663
Stanly,747,693,671,679,683,642,648,632
Stokes,808,825,763,729,738,753,698,687
Surry,724,693,671,679,683,642,685,632
Swain,724,693,671,679,683,642,648,646
Transylvania,935,706,681,696,716,654,656,652
Tyrrell,800,735,678,679,683,642,648,632
Union,1155,1151,1063,1028,967,907,864,831
Vance,741,693,671,679,683,642,649,657
Wake,1223,1200,1163,1086,1026,993,947,918
Warren,724,693,671,679,683,642,648,632
Washington,724,693,671,715,747,720,666,824
Watauga,913,826,865,914,925,887,872,844
Wayne,849,827,812,753,756,671,746,637
Wilkes,724,693,671,679,683,642,648,632
Wilson,823,778,748,730,762,770,723,715
Yadkin,808,825,763,729,738,753,698,687
Yancey,724,693,671,682,716,675,671,632
