County,2022,2021,2020,2019,2018,2017,2016,2015
Alamance ,1126,1126,1100,1071,1029,1143,1101,903
Alexander ,943,899,918,873,877,872,852,827
Alleghany ,912,862,846,940,933,882,885,905
Anson ,995,883,904,938,951,897,908,925
Ashe ,901,963,968,982,993,935,910,787
Avery ,1056,1000,945,969,974,959,965,1045
Beaufort ,997,954,906,918,927,928,926,931
Bertie,925,883,851,855,856,818,842,837
Bladen ,997,968,906,914,891,806,804,787
Brunswick ,1315,1171,1146,1130,1118,1130,1052,1117
Buncombe ,1879,1751,1357,1356,1120,1194,1073,1100
Burke ,943,899,918,873,877,872,852,827
Cabarrus ,1497,1518,1423,1388,1310,1230,1173,1120
Caldwell ,943,899,918,873,877,872,852,827
Camden ,1328,1357,1342,1415,1403,1330,1055,1006
Carteret ,1264,1153,1101,1156,1147,1110,1091,1171
Caswell ,996,910,890,923,946,926,944,904
Catawba ,943,899,918,873,877,872,852,827
Chatham ,1546,1493,1461,1435,1356,1332,1262,1127
Cherokee,1000,946,912,915,930,929,939,835
Chowan ,1059,1005,979,1022,1068,953,950,838
Clay ,1015,980,940,941,924,879,828,931
Cleveland ,976,919,876,896,927,870,870,877
Columbus,946,923,896,897,892,833,823,787
Craven ,1319,1284,1270,1236,1276,1170,1281,987
Cumberland ,1262,1208,1188,1246,1138,1151,1143,1035
Currituck,1676,1618,1603,1553,1533,1577,1601,1530
Dare ,1415,1347,1333,1378,1420,1292,1277,1239
Davidson,973,958,966,959,969,922,923,880
Davie ,1075,1111,1028,985,1002,1038,974,991
Duplin ,911,869,844,900,913,868,841,787
Durham ,1546,1493,1461,1435,1356,1332,1262,1127
Edgecombe ,1106,1054,1017,985,984,1018,908,899
Forsyth ,1075,1111,1028,985,1002,1038,974,991
Franklin ,1517,1509,1482,1396,1327,1294,1228,1189
Gaston ,1497,1518,1423,1388,1310,1230,1173,1120
Gates ,1023,971,1005,982,993,935,944,840
Graham ,895,862,836,851,856,812,895,931
Granville,1093,1032,1019,1024,1042,983,911,848
Greene ,989,898,836,851,858,803,804,793
Guilford ,1243,1135,1114,1028,1078,1025,1003,957
Halifax ,1005,937,950,956,932,861,846,841
Harnett ,1216,1125,1092,1076,1068,950,941,927
Haywood ,1165,1051,1167,1083,924,937,928,1125
Henderson ,1879,1751,1357,1356,1120,1194,1073,1100
Hertford ,1014,955,960,990,956,875,834,787
Hoke ,1095,1046,1040,1073,1011,990,978,879
Hyde ,956,923,1025,1138,1148,1087,991,970
Iredell ,1232,1244,1170,1153,1065,1055,1082,937
Jackson ,1030,1008,961,909,885,803,804,848
Johnston ,1517,1509,1482,1396,1327,1294,1228,1189
Jones ,988,936,968,919,913,885,845,828
Lee ,1030,980,949,968,982,898,872,876
Lenoir ,1025,1005,980,960,951,878,823,802
Lincoln,1054,1111,1082,1072,1000,942,1050,861
McDowell,895,862,836,851,856,812,813,789
Macon,1003,956,948,988,1048,971,883,902
Madison,1879,1751,1357,1356,1120,1194,1073,1100
Martin ,996,963,903,920,926,864,822,787
Mecklenburg ,1497,1518,1423,1388,1310,1230,1173,1120
Mitchell ,895,863,843,851,891,852,820,813
Montgomery ,895,862,867,918,946,882,888,829
Moore ,1168,1050,1049,1033,1046,930,1065,1158
Nash ,1106,1054,1017,985,984,1018,908,899
New Hanover ,1545,1449,1330,1404,1392,1292,1260,1117
Northampton,936,923,938,970,959,898,888,843
Onslow ,1244,1279,1327,1219,1226,1182,1154,1087
Orange ,1546,1493,1461,1435,1356,1332,1262,1127
Pamlico ,1047,989,945,958,982,935,985,902
Pasquotank ,1234,1179,1137,1147,1231,1153,1158,1051
Pender ,1235,1160,1035,1075,1061,948,915,990
Perquimans,1175,1049,1022,1034,1062,1052,1094,995
Person,1054,1024,969,943,926,882,804,826
Pitt,1249,1222,1100,1097,1074,1115,1034,934
Polk ,1017,955,930,996,1024,966,915,907
Randolph ,1243,1135,1114,1028,1078,1025,1003,957
Richmond ,1020,942,882,886,902,864,871,837
Robeson ,919,868,837,851,862,812,812,802
Rockingham,991,914,895,888,901,837,827,787
Rowan,1144,1158,1111,1112,1041,913,885,903
Rutherford,895,862,842,877,900,853,983,896
Sampson,930,924,925,944,943,878,891,853
Scotland,912,863,836,872,883,830,853,848
Stanly,998,941,913,927,931,873,885,873
Stokes,1075,1111,1028,985,1002,1038,974,991
Surry,946,908,877,902,939,900,978,931
Swain,986,899,845,851,856,803,804,805
Transylvania,1156,897,867,902,943,894,920,868
Tyrrell,1072,1016,978,982,993,935,944,809
Union,1497,1518,1423,1388,1310,1230,1173,1120
Vance,1006,979,947,941,914,841,828,818
Wake,1517,1509,1482,1396,1327,1294,1228,1189
Warren,946,897,907,971,988,932,944,931
Washington,980,992,968,1001,963,901,826,1181
Watauga,1180,1084,1141,1232,1255,1228,1191,1183
Wayne,1049,1029,1012,964,987,900,1001,830
Wilkes,998,992,957,944,914,848,847,787
Wilson,1029,998,980,983,1034,1058,984,951
Yadkin,1075,1111,1028,985,1002,1038,974,991
Yancey,977,918,886,916,966,945,958,795
